时间段,因子名称,最小分位数超额年化收益率,最大分位数超额年化收益率,最小分位数换手率,最大分位数换手率,IC均值,IR值
全a 近10年,市净率因子,-1.20%,4.26%,3.38%,2.15%,0.032,0.214
全a 近10年,盈利能力因子,-1.56%,-2.14%,1.80%,1.17%,0.003,0.031
全a 近10年,财务杠杆因子,-0.52%,2.69%,1.41%,1.54%,0.001,0.006
全a 近10年,投资能力因子,-4.71%,-2.21%,1.50%,1.80%,0.007,0.076
全a 近10年,分红因子,-3.93%,-2.32%,4.33%,2.47%,0.018,0.174
全a 近10年,盈利质量因子,-1.85%,-3.01%,1.54%,1.91%,0.003,0.044
全a 近10年,收益因子,-8.33%,3.75%,3.08%,2.14%,0.023,0.175
全a 近10年,长期成长因子,-7.91%,-3.07%,2.29%,2.21%,-0.003,-0.045
全a 近10年,盈利变动率因子,1.73%,-7.61%,1.96%,2.46%,-0.011,-0.161
全a近3年,净利润与营业总收入之比,-2.65%,-0.56%,2.02%,1.14%,0.011,0.132
全a近3年,心理线指标,4.81%,-8.88%,24.73%,25.57%,-0.026,-0.347
全a近3年,12日量变动速率指标,3.32%,-13.26%,46.47%,44.48%,-0.043,-0.608
全a近3年,6日成交金额的移动平均值,4.91%,-19.28%,6.17%,8.78%,-0.062,-0.558
全a近3年,每股营业总收入TTM,0.64%,0.02%,1.91%,1.22%,0.005,0.085
全a近3年,经营活动产生的现金流量净额与企业价值之比TTM,-6.73%,4.06%,2.19%,2.08%,0.023,0.312
全a近3年,应付账款周转天数,2.99%,-5.64%,1.39%,1.45%,-0.008,-0.200
全a近3年,销售净利率,-2.57%,-0.57%,2.01%,1.14%,0.011,0.131
全a近3年,营业外收支利润净额/利润总额,4.36%,1.81%,1.92%,1.90%,0.002,0.087
全a近3年,营业收入增长率,-2.66%,-0.09%,2.00%,1.65%,0.001,0.010
全a近3年,净运营资本,-4.58%,-0.44%,2.14%,1.26%,0.013,0.228
全a近3年,成交量的10日指数移动平均,-2.22%,-10.72%,3.98%,6.31%,-0.043,-0.532
全a近3年,成交量比率（Volume Ratio）,-1.86%,-4.20%,18.88%,19.77%,-0.029,-0.347
全a近3年,5日平均换手率,6.52%,-26.48%,7.32%,9.76%,-0.066,-0.576
全a近3年,意愿指标,-5.91%,-1.51%,16.16%,17.04%,-0.039,-0.410
全a近3年,营业总收入TTM,-1.21%,-0.96%,2.70%,1.48%,0.019,0.209
全a近3年,12日成交量的移动平均值,-2.41%,-10.28%,3.53%,5.75%,-0.042,-0.512
全a近3年,营业利润TTM,-1.62%,1.24%,2.44%,1.39%,0.021,0.194
全a近3年,固定资产比率,-6.19%,-3.30%,1.31%,1.33%,0.001,0.022
全a近3年,120日收益方差,2.00%,-10.84%,2.13%,3.15%,-0.048,-0.312
全a近3年,应收账款周转天数,-2.34%,-3.70%,1.55%,1.40%,-0.009,-0.124
全a近3年,经营活动现金流量净额TTM,-2.41%,1.35%,2.44%,1.61%,0.019,0.215
全a近3年,营业收入TTM,-0.89%,-1.05%,2.68%,1.47%,0.019,0.210
全a近3年,20日成交金额的移动平均值,3.77%,-15.67%,2.97%,4.69%,-0.049,-0.416
全a近3年,5日平均换手率与120日平均换手率,3.68%,-17.04%,11.51%,14.20%,-0.055,-0.688
全a近3年,每股现金及现金等价物余额,-2.51%,-1.50%,2.23%,1.23%,0.006,0.090
全a近3年,计算VMACD因子的中间变量,4.08%,-7.64%,9.77%,14.73%,-0.044,-0.558
全a近3年,总资产增长率,-3.60%,-2.81%,2.17%,1.54%,0.001,0.018
全a近3年,杠杆因子,-3.74%,1.05%,1.12%,1.43%,0.001,0.009
全a近3年,威廉变异离散量,2.36%,-12.14%,31.16%,29.57%,-0.035,-0.387
全a近3年,毛利率增长,-6.17%,0.59%,1.90%,1.91%,0.005,0.151
全a近3年,因子WVAD的6日均值,1.09%,-4.88%,15.79%,15.89%,-0.032,-0.373
全a近3年,营业费用与营业总收入之比,4.55%,-10.26%,1.51%,1.30%,-0.005,-0.093
全a近3年,每股盈余公积金,-3.96%,-3.21%,1.69%,1.11%,0.011,0.159
全a近3年,10日成交量标准差,-2.19%,-14.09%,8.82%,9.61%,-0.051,-0.657
全a近3年,带息流动负债,-1.89%,-1.97%,2.20%,1.63%,0.010,0.137
全a近3年,销售税金率,-0.54%,-0.85%,1.36%,1.43%,0.001,0.043
全a近3年,存货周转天数,-8.29%,-5.28%,1.48%,1.25%,-0.005,-0.076
全a近3年,营业周期,-5.43%,-7.47%,1.59%,1.46%,-0.009,-0.123
全a近3年,14日均幅指标,7.13%,-9.07%,2.78%,4.28%,-0.038,-0.387
全a近3年,经营活动产生的现金流量净额与经营活动净收益之比,-5.13%,2.42%,1.95%,1.76%,0.009,0.309
全a近3年,净利润现金含量,-7.87%,2.30%,2.46%,2.41%,0.006,0.265
全a近3年,经营活动产生的现金流量净额增长率,-3.81%,3.30%,2.06%,2.04%,0.006,0.204
全a近3年,销售费用TTM,-2.56%,-1.31%,2.07%,1.49%,0.010,0.167
全a近3年,留存收益,-1.27%,0.73%,2.50%,1.39%,0.025,0.251
全a近3年,营业总成本TTM,-0.69%,-1.40%,2.52%,1.48%,0.017,0.197
全a近3年,速动比率,-5.43%,-4.66%,1.83%,1.25%,0.001,0.010
全a近3年,个股收益的20日偏度,4.08%,-5.21%,16.22%,14.54%,-0.026,-0.403
全a近3年,利润总额增长率,-5.45%,-2.70%,1.90%,1.91%,0.004,0.087
全a近3年,营业外收支净额TTM,-1.89%,-1.85%,1.52%,1.49%,0.001,0.055
全a近3年,无形资产比率,-3.54%,-2.10%,1.23%,1.32%,0.001,0.041
全a近3年,归属母公司股东的净利润增长率,-7.04%,-3.23%,1.91%,1.93%,0.003,0.074
全a近3年,市场杠杆,-2.06%,-3.08%,1.73%,1.94%,0.009,0.123
全a近3年,个股收益的20日峰度,-1.54%,-2.24%,19.13%,15.28%,-0.006,-0.119
全a近3年,20日夏普比率,-0.29%,-9.55%,19.75%,20.66%,-0.047,-0.441
全a近3年,筹资活动产生的现金流量净额增长率,-0.26%,-0.50%,2.04%,2.07%,0.001,0.045
全a近3年,投资活动现金流量净额TTM,-1.41%,-2.94%,1.58%,2.37%,-0.008,-0.146
全a近3年,产权比率,-2.25%,-4.43%,1.38%,1.65%,-0.001,-0.018
全a近3年,10日平均换手率,5.88%,-25.17%,4.62%,6.68%,-0.061,-0.517
全a近3年,10日平均换手率与120日平均换手率之比,1.07%,-16.35%,7.33%,9.52%,-0.048,-0.605
全a近3年,计算VMACD因子的中间变量,2.33%,-7.71%,6.08%,9.12%,-0.035,-0.460
全a近3年,超速动比率,-6.01%,-2.89%,1.84%,1.23%,0.001,0.009
全a近3年,存货周转率,-4.15%,-5.86%,1.43%,1.40%,0.006,0.072
全a近3年,财务费用TTM,-3.61%,-1.61%,1.18%,1.36%,-0.004,-0.061
全a近3年,营业利润增长率,-4.92%,-3.01%,1.91%,1.92%,0.004,0.083
全a近3年,每股未分配利润,-1.96%,0.55%,2.05%,1.13%,0.010,0.126
全a近3年,20日成交量标准差,-2.49%,-10.08%,4.82%,5.87%,-0.043,-0.532
全a近3年,长期负债与营运资金比率,-4.44%,0.64%,1.71%,1.55%,0.005,0.201
全a近3年,流动比率(单季度),-6.41%,-4.62%,1.82%,1.27%,0.001,0.009
全a近3年,经营活动产生现金流量净额/净债务,-8.58%,-0.28%,2.09%,2.07%,0.006,0.239
全a近3年,总资产现金回收率,-7.14%,-1.03%,1.95%,1.57%,0.012,0.230
全a近3年,6日均幅指标,7.41%,-11.09%,4.88%,7.64%,-0.046,-0.473
全a近3年,每股营业收入TTM,0.61%,0.04%,1.91%,1.22%,0.005,0.087
全a近3年,管理费用TTM,0.08%,-0.82%,2.47%,1.56%,0.016,0.181
全a近3年,净利息费用,-7.56%,-3.91%,1.41%,2.55%,-0.028,-0.121
全a近3年,非流动资产比率,-5.78%,-4.16%,1.28%,1.52%,0.002,0.039
全a近3年,价值变动净收益TTM,2.24%,-0.77%,2.16%,1.78%,0.010,0.209
全a近3年,每股净资产,-4.03%,-3.12%,2.01%,0.93%,0.005,0.051
全a近3年,总资产周转率,-3.42%,1.70%,1.39%,1.37%,0.005,0.108
全a近3年,利润总额TTM,-1.63%,1.28%,2.43%,1.40%,0.021,0.195
全a近3年,个股收益的120日峰度,0.93%,1.26%,4.80%,3.31%,0.007,0.124
全a近3年,60日夏普比率,2.33%,-4.16%,12.03%,12.84%,-0.036,-0.310
全a近3年,长期借款与资产总计之比,-2.53%,0.41%,1.65%,1.62%,0.001,0.033
全a近3年,筹资活动现金流量净额TTM,-0.80%,1.72%,1.39%,1.50%,-0.010,-0.165
全a近3年,个股收益的60日偏度,4.17%,-5.96%,6.88%,6.32%,-0.027,-0.379
全a近3年,20日平均换手率,5.62%,-21.03%,3.07%,4.76%,-0.054,-0.447
全a近3年,市值因子,17.60%,-3.16%,2.68%,1.79%,-0.025,-0.116
全a近3年,每股营业总收入,-0.19%,1.11%,2.17%,1.45%,0.007,0.102
全a近3年,20日平均换手率与120日平均换手率之比,5.30%,-14.56%,4.98%,6.57%,-0.039,-0.483
全a近3年,有形净值债务率,-2.42%,-3.40%,1.45%,1.58%,-0.001,-0.016
全a近3年,成交量指数平滑异同移动平均线,4.75%,-9.59%,15.73%,23.74%,-0.030,-0.409
全a近3年,动量因子,-9.46%,-1.59%,6.71%,7.86%,-0.011,-0.068
全a近3年,总资产报酬率,0.23%,-1.58%,2.06%,1.27%,0.010,0.110
全a近3年,营业利润率,-2.98%,-0.52%,2.01%,1.14%,0.011,0.138
全a近3年,每股留存收益,-2.52%,-0.12%,2.09%,1.13%,0.011,0.133
全a近3年,人气指标,-6.17%,-5.17%,14.99%,14.93%,-0.049,-0.516
全a近3年,长期负债与资产总计之比,-6.07%,-4.25%,1.55%,1.47%,0.000,0.004
全a近3年,流动资产周转率TTM,-5.83%,-1.25%,1.47%,1.41%,0.007,0.121
全a近3年,无息流动负债,0.83%,-2.15%,2.46%,1.66%,0.014,0.162
全a近3年,财务费用与营业总收入之比,-1.11%,-3.80%,1.23%,1.68%,-0.006,-0.106
全a近3年,经营活动净收益/利润总额,-7.04%,-1.62%,2.39%,2.44%,0.002,0.092
全a近3年,息税前利润,-2.06%,2.59%,2.90%,1.83%,0.023,0.224
全a近3年,债务总资产比,-2.51%,-6.03%,1.23%,1.76%,-0.003,-0.041
全a近3年,股东权益与固定资产比率,-2.13%,-6.53%,1.51%,1.29%,0.002,0.033
全a近3年,个股收益的120日偏度,4.89%,-5.12%,3.99%,4.12%,-0.026,-0.339
全a近3年,净利润TTM,-1.51%,0.93%,2.41%,1.41%,0.021,0.195
全a近3年,120日夏普比率,-3.07%,-2.94%,8.85%,9.65%,-0.030,-0.258
全a近3年,非线性市值因子,0.09%,-5.03%,2.67%,4.09%,-0.022,-0.287
全a近3年,经营活动净收益,-3.27%,2.65%,2.68%,1.78%,0.021,0.215
全a近3年,60日平均换手率,4.89%,-12.32%,1.88%,2.98%,-0.042,-0.346
全a近3年,市净率因子,-9.65%,6.24%,3.29%,2.06%,0.039,0.245
全a近3年,经营活动产生的现金流量净额/负债合计,-10.11%,-1.34%,2.55%,2.16%,0.010,0.236
全a近3年,每股营业收入,-0.12%,1.05%,2.18%,1.45%,0.007,0.103
全a近3年,经营活动产生的现金流量净额与营业收入之比,-3.08%,3.15%,1.90%,1.43%,0.011,0.254
全a近3年,营业利润与营业总收入之比,-2.53%,-0.40%,2.02%,1.14%,0.011,0.139
全a近3年,每股经营活动产生的现金流量净额,-7.22%,3.07%,2.56%,2.24%,0.011,0.219
全a近3年,换手率相对波动率,8.41%,-31.13%,5.49%,6.58%,-0.061,-0.567
全a近3年,资产回报率TTM,0.44%,-1.05%,2.04%,1.26%,0.009,0.105
全a近3年,管理费用与营业总收入之比,0.37%,-0.74%,1.58%,1.64%,-0.009,-0.180
全a近3年,固定资产周转率,0.54%,-6.32%,1.46%,1.37%,0.003,0.066
全a近3年,净利润增长率,-6.78%,-3.04%,1.90%,1.95%,0.003,0.073
全a近3年,对联营和合营公司投资收益/利润总额,-4.02%,-1.52%,1.93%,2.08%,0.007,0.182
全a近3年,息税折旧摊销前利润,-2.32%,1.43%,3.53%,2.46%,0.024,0.245
全a近3年,资产减值损失TTM,-8.29%,-3.51%,2.09%,1.83%,0.005,0.121
全a近3年,股东权益比率,-6.02%,-2.52%,1.75%,1.23%,0.003,0.041
全a近3年,每股营业利润TTM,-2.06%,1.21%,2.19%,1.18%,0.010,0.104
全a近3年,20日收益方差,3.98%,-17.70%,8.21%,8.59%,-0.061,-0.461
全a近3年,归属于母公司股东的净利润TTM,-1.39%,0.76%,2.44%,1.42%,0.021,0.196
全a近3年,营业成本TTM,0.70%,-0.86%,2.27%,1.57%,0.015,0.177
全a近3年,净资产增长率,-1.38%,-1.23%,2.10%,1.56%,0.004,0.051
全a近3年,120日平均换手率,3.41%,-8.97%,1.60%,2.37%,-0.036,-0.301
全a近3年,6日量变动速率指标,5.63%,-14.78%,54.34%,51.60%,-0.037,-0.517
全a近3年,销售商品提供劳务收到的现金与营业收入之比,-5.15%,-0.59%,1.56%,1.75%,0.004,0.068
全a近3年,现金比率,-9.19%,-3.52%,1.96%,1.32%,0.004,0.078
全a近3年,现金流动负债比,-5.90%,3.40%,1.91%,1.21%,0.012,0.226
全a近3年,20日成交金额的标准差,3.80%,-20.33%,5.39%,6.54%,-0.057,-0.518
全a近3年,现金流资产比和资产回报率之差,-7.52%,0.86%,2.51%,2.80%,0.003,0.102
全a近3年,ARBR,2.66%,-12.84%,13.16%,11.76%,-0.018,-0.329
全a近3年,每股收益TTM,-1.19%,0.88%,2.17%,1.17%,0.010,0.099
全a近3年,20日资金流量,3.88%,-15.68%,2.97%,4.69%,-0.049,-0.416
全a近3年,权益回报率TTM,-0.60%,-0.93%,2.09%,1.47%,0.010,0.109
全a近3年,应付账款周转率,-5.80%,4.83%,1.53%,1.32%,0.009,0.212
全a近3年,销售毛利率,-4.59%,-5.28%,1.71%,1.10%,0.000,0.007
全a近3年,净债务,-0.26%,-1.92%,1.87%,1.54%,0.007,0.085
全a近3年,扣除非经常损益后的净利润/净利润,-3.06%,-5.72%,2.28%,2.50%,-0.007,-0.231
全a近3年,非经常性损益,-3.57%,-1.82%,2.96%,2.28%,0.008,0.202
全a近3年,应收账款周转率,-6.28%,-2.12%,3.38%,3.14%,0.008,0.101
全a近3年,股东权益周转率,-2.54%,-0.74%,1.66%,1.19%,0.000,0.002
全a近3年,每股现金流量净额，根据当时日期来获取最近变更日的总股本,-2.31%,1.17%,1.68%,1.74%,0.001,0.053
全a近3年,流动性因子,1.42%,-9.40%,1.71%,3.17%,-0.047,-0.248
全a近3年,60日收益方差,3.64%,-11.68%,3.34%,4.37%,-0.053,-0.360
全a近3年,销售商品提供劳务收到的现金,-4.49%,-1.32%,2.70%,1.54%,0.019,0.210
全a近3年,个股收益的60日峰度,-1.98%,2.54%,8.06%,5.84%,0.000,0.007
全a近3年,成交量的5日指数移动平均,-2.21%,-12.82%,6.36%,9.04%,-0.048,-0.599
全a近3年,毛利TTM,-1.36%,-0.71%,3.00%,1.52%,0.020,0.220
全a近3年,240日平均换手率,4.28%,-9.15%,1.54%,2.00%,-0.030,-0.274
全a近3年,成交量的26日指数移动平均,-2.97%,-8.07%,2.19%,3.99%,-0.035,-0.425
全a近3年,每股营业利润,-5.10%,3.58%,2.54%,1.57%,0.013,0.145
全a近3年,成交量震荡,3.87%,-20.82%,12.12%,15.64%,-0.052,-0.641
全a近3年,6日成交金额的标准差,4.76%,-23.47%,15.74%,15.59%,-0.068,-0.714
全a近3年,成本费用利润率,-3.43%,1.79%,2.01%,1.11%,0.010,0.128
全a近3年,销售成本率,-5.52%,-4.72%,1.07%,1.70%,-0.001,-0.019
全a近3年,每股资本公积金,-1.65%,-1.06%,1.49%,0.89%,-0.006,-0.073
全a近3年,现金流量市值比,-3.94%,5.38%,1.85%,1.82%,0.021,0.150
全a近3年,残差历史波动率,2.99%,-10.77%,1.13%,2.46%,-0.041,-0.192
全a近3年,5年盈利增长率,-4.73%,-2.87%,1.80%,1.38%,-0.002,-0.024
全a近3年,利润市值比,-7.11%,3.86%,2.03%,1.68%,0.020,0.120
全a近3年,市场杠杆,-4.74%,0.16%,1.38%,1.41%,0.007,0.054
全a近3年,对数总市值,17.19%,-0.81%,2.63%,1.49%,-0.023,-0.104
全a近3年,季度平均平均月换手率,0.76%,-18.64%,1.20%,2.79%,-0.035,-0.162
全a近3年,收益离差,3.88%,-11.60%,13.47%,11.04%,-0.037,-0.200
全a近3年,市值立方因子,0.20%,-5.06%,2.44%,3.84%,-0.023,-0.290
全a近3年,月换手率,1.29%,-27.13%,2.21%,4.44%,-0.046,-0.217
全a近3年,账面杠杆,-3.36%,-3.11%,1.27%,1.43%,-0.002,-0.017
全a近3年,成长因子,-7.47%,-2.48%,1.87%,1.45%,-0.002,-0.019
全a近3年,盈利预期因子,-8.70%,5.25%,3.09%,2.20%,0.024,0.148
全a近3年,年度平均月换手率,0.28%,-12.39%,0.82%,1.82%,-0.023,-0.112
全a近3年,日收益率标准差,3.59%,-14.45%,1.63%,3.63%,-0.051,-0.202
全a近3年,资产负债率,-3.60%,-0.73%,1.10%,1.52%,-0.001,-0.013
全a近3年,相对强弱,-9.51%,-1.49%,6.71%,7.86%,-0.011,-0.068
全a近3年,5年营业收入增长率,-7.49%,-3.27%,1.72%,1.25%,-0.002,-0.021
全a近3年,残差波动因子,9.16%,-15.93%,3.73%,5.16%,-0.060,-0.460
全a近3年,BETA,1.44%,2.71%,2.97%,3.03%,-0.015,-0.058
全a近3年,5日移动均线,-10.75%,-5.87%,46.82%,42.07%,0.036,0.295
全a近3年,上轨线（布林线）指标,-8.45%,-2.59%,28.39%,15.83%,0.015,0.113
全a近3年,26日指数移动均线,-12.22%,-0.98%,23.65%,20.24%,0.054,0.403
全a近3年,资金流量指标,1.57%,-7.23%,21.39%,22.51%,-0.037,-0.426
全a近3年,120日指数移动均线,-10.01%,-3.56%,13.00%,9.92%,0.047,0.332
全a近3年,60日移动均线,-11.97%,-2.92%,14.94%,11.87%,0.049,0.358
全a近3年,120日移动均线,-8.85%,-2.35%,11.37%,8.73%,0.043,0.315
全a近3年,下轨线（布林线）指标,-14.76%,-1.39%,17.40%,24.49%,0.063,0.579
全a近3年,12日指数移动均线,-15.10%,-0.26%,32.78%,28.69%,0.051,0.386
全a近3年,5日指数移动均线,-13.76%,-2.87%,46.98%,41.90%,0.041,0.322
全a近3年,20日指数移动均线,-12.46%,-0.39%,26.39%,22.85%,0.054,0.403
全a近3年,20日移动均线,-13.38%,0.67%,23.67%,20.10%,0.052,0.400
全a近3年,平滑异同移动平均线,0.63%,-13.89%,12.98%,16.29%,-0.038,-0.325
全a近3年,10日指数移动均线,-14.11%,-0.71%,35.34%,31.12%,0.049,0.375
全a近3年,10日移动均线,-15.41%,-0.16%,32.83%,28.72%,0.046,0.351
全a近3年,5日乖离率,-5.53%,-10.85%,42.07%,46.83%,-0.036,-0.295
全a近3年,当前股价除以过去一年股价均值再减1,-6.81%,-6.73%,6.28%,8.86%,-0.036,-0.264
全a近3年,当前股价除以过去三个月股价均值再减1,-3.30%,-12.20%,11.76%,14.90%,-0.049,-0.356
全a近3年,当前股价除以过去一个月股价均值再减1,1.22%,-12.03%,19.68%,23.19%,-0.052,-0.402
全a近3年,12日收盘价格与日期线性回归系数,1.21%,-13.71%,15.60%,15.99%,-0.040,-0.339
全a近3年,BBI 动量,-13.85%,-0.72%,34.92%,30.52%,0.051,0.387
全a近3年,12日变动速率（Price Rate of Change）,0.29%,-14.79%,23.98%,23.37%,-0.047,-0.392
全a近3年,120日变动速率（Price Rate of Change）,-2.23%,-1.66%,9.01%,9.09%,-0.030,-0.233
全a近3年,60日乖离率,-3.16%,-12.06%,11.85%,14.96%,-0.049,-0.357
全a近3年,20日变动速率（Price Rate of Change）,-1.52%,-12.72%,19.18%,18.60%,-0.049,-0.391
全a近3年,Aroon指标下轨,-3.46%,-1.32%,22.84%,22.29%,0.020,0.233
全a近3年,单日价量趋势12均值,-1.40%,-9.13%,21.67%,18.98%,-0.045,-0.531
全a近3年,当前交易量相比过去1个月日均交易量 与过去过去20日日均收益率乘积,-2.89%,-13.26%,25.06%,25.01%,-0.051,-0.429
全a近3年,20日顺势指标,-2.56%,-6.81%,23.66%,26.36%,-0.044,-0.380
全a近3年,6日收盘价格与日期线性回归系数,-1.38%,-14.70%,29.28%,29.57%,-0.036,-0.287
全a近3年,CR指标,-0.78%,-7.70%,17.01%,18.24%,-0.043,-0.385
全a近3年,60日变动速率（Price Rate of Change）,-1.04%,-7.78%,12.10%,11.90%,-0.036,-0.271
全a近3年,20日乖离率,1.26%,-13.04%,20.14%,23.69%,-0.052,-0.400
全a近3年,多头力道,-3.57%,-16.89%,27.85%,30.84%,-0.055,-0.445
全a近3年,Aroon指标上轨,-5.54%,-4.65%,20.58%,20.90%,-0.029,-0.331
全a近3年,单日价量趋势6日均值,-0.90%,-11.56%,30.46%,28.00%,-0.040,-0.428
全a近3年,10日终极指标TRIX,-2.49%,-10.17%,6.89%,8.51%,-0.039,-0.306
全a近3年,10日顺势指标,-0.43%,-7.94%,35.21%,37.61%,-0.038,-0.323
全a近3年,88日顺势指标,-4.83%,-6.27%,10.81%,13.68%,-0.040,-0.347
全a近3年,24日收盘价格与日期线性回归系数,-3.58%,-9.17%,8.41%,8.99%,-0.038,-0.313
全a近3年,10日乖离率,-0.21%,-15.42%,28.70%,32.86%,-0.045,-0.351
全a近3年,6日变动速率（Price Rate of Change）,0.36%,-16.22%,32.76%,32.16%,-0.043,-0.338
全a近3年,当前价格处于过去1年股价的位置,-4.87%,-6.75%,13.58%,10.73%,0.034,0.299
全a近3年,梅斯线,-0.31%,-10.09%,9.08%,9.34%,-0.034,-0.377
全a近3年,空头力道,-4.31%,-9.53%,25.97%,31.23%,-0.025,-0.192
全a近3年,单日价量趋势,2.96%,-12.38%,70.55%,73.47%,-0.026,-0.291
全a近3年,5日终极指标TRIX,2.33%,-13.51%,13.24%,15.41%,-0.044,-0.350
全a近3年,1减去 过去一个月收益率排名与股票总数的比值,-15.56%,-1.90%,18.83%,19.45%,0.048,0.379
全a近3年,15日顺势指标,-1.68%,-8.82%,27.73%,30.42%,-0.042,-0.359
全a近3年,市值,-1.64%,-0.86%,2.09%,1.57%,-0.015,-0.096
全a近3年,现金流市值比,-1.23%,4.58%,2.22%,2.19%,0.002,0.087
全a近3年,营收市值比,-6.56%,2.18%,2.38%,2.02%,0.023,0.251
全a近3年,流通市值,-2.01%,-0.72%,2.36%,1.59%,-0.012,-0.084
全a近3年,PEG,2.20%,-4.76%,2.66%,3.18%,-0.006,-0.127
全a近3年,财务杠杆指数,14.07%,-0.37%,1.50%,1.47%,-0.005,-0.160
全a近3年,营业收入指数,-0.86%,-1.88%,1.89%,1.49%,-0.002,-0.040
全a近3年,毛利率指数,-0.05%,-4.20%,1.79%,1.65%,-0.001,-0.038
全a近3年,经营性资产,-0.69%,-0.17%,2.65%,1.57%,0.017,0.177
全a近3年,金融资产,-1.05%,-0.06%,2.97%,1.52%,0.020,0.269
全a近3年,经营性负债,-3.02%,-0.73%,2.62%,1.77%,0.015,0.155
全a近3年,应收账款指数,-4.36%,-5.19%,1.66%,1.60%,-0.000,-0.017
全a近3年,金融负债,-2.10%,-0.55%,2.18%,1.60%,0.011,0.145
全a近3年,经营资产回报率TTM,-7.53%,0.92%,2.03%,1.11%,0.009,0.125
全a近3年,销售利润率TTM,-2.91%,-0.56%,2.01%,1.13%,0.011,0.136
全a近3年,长期权益回报率TTM,0.42%,-3.15%,2.07%,1.42%,0.009,0.111
全a近3年,经营资产周转率TTM,-3.89%,0.13%,1.52%,1.21%,0.004,0.093
全a近3年,长期资产回报率TTM,2.19%,-3.23%,2.01%,1.20%,0.009,0.110
全a近3年,销售管理费用指数,-0.88%,-0.11%,1.66%,1.68%,0.000,0.014
全a近3年,长期毛利率增长,-0.13%,0.04%,1.86%,1.71%,0.005,0.136
全a近3年,最大盈利水平,-5.65%,1.16%,1.88%,1.80%,0.006,0.146
全a近3年,盈利能力稳定性,-7.72%,-0.40%,1.93%,1.28%,0.009,0.149
全a近3年,投资资本回报率TTM,-4.15%,-0.98%,2.11%,1.34%,0.010,0.108
全a近3年,预期市盈率,-9.00%,7.18%,3.09%,2.45%,0.028,0.149
全a近3年,RAW BETA,1.44%,2.71%,2.97%,3.03%,-0.015,-0.058
全a近3年,预期短期盈利增长率,-3.00%,0.17%,2.25%,2.18%,-0.008,-0.066
全a近3年,预期长期盈利增长率,2.84%,-1.45%,2.08%,3.83%,0.002,0.018
全a近3年,不复权价格因子,8.09%,-6.22%,2.31%,2.17%,-0.027,-0.151
全a近3年,规模因子,-0.65%,-3.67%,1.85%,4.59%,-0.011,-0.101
全a近3年,流动性因子,0.86%,-19.45%,1.20%,2.63%,-0.035,-0.159
全a近3年,分红收益率因子,-2.58%,2.70%,3.71%,2.86%,0.019,0.101
全a近3年,质量因子,-5.66%,1.08%,2.95%,3.54%,-0.001,-0.013
全a近3年,价值因子,-7.80%,7.50%,2.52%,1.87%,0.032,0.266
全a近3年,成长因子,-3.47%,-2.02%,4.00%,3.84%,-0.002,-0.023
全a近3年,动量因子,-0.71%,-11.54%,12.70%,13.49%,-0.046,-0.316
全a近3年,波动率因子,3.80%,-3.64%,1.82%,2.51%,-0.034,-0.138
全a近3年,情绪因子,-5.54%,-0.17%,4.64%,6.06%,0.003,0.045
全a近3年,市场波动率因子,2.51%,-1.80%,1.53%,1.72%,-0.016,-0.065
全a近3年,相对动量因子,-8.38%,-2.59%,2.61%,3.16%,-0.016,-0.100
全a近3年,长期反转因子,-2.06%,-1.65%,3.06%,2.50%,0.003,0.037
全a近3年,残余波动率因子,3.25%,-14.98%,1.21%,3.04%,-0.047,-0.196
全a近3年,流动性因子,1.35%,-16.45%,1.22%,3.05%,-0.036,-0.170
全a近3年,市值规模因子,17.17%,-0.80%,2.63%,1.49%,-0.023,-0.104
全a近3年,中等市值因子,0.20%,-4.95%,2.45%,3.80%,-0.023,-0.288
全a近3年,市净率因子,-9.73%,6.23%,3.28%,2.06%,0.039,0.245
全a近3年,盈利能力因子,1.22%,-4.11%,1.77%,1.02%,-0.002,-0.018
全a近3年,财务杠杆因子,-6.14%,-1.00%,1.16%,1.55%,0.000,0.001
全a近3年,投资能力因子,-3.03%,-0.93%,1.19%,1.86%,0.007,0.065
